LSOA,FTTP_AVAILABILITY,FTTC_AVAILABILITY,GFAST_AVAILABILITY,DSL_AVAILABILITY,CABLE_AVAILABILITY,OPERATOR_COUNT,DOWN_MBPS,UP_MBPS
E01018134,0.272727,0.939394,0,0.939394,0.939394,5.969697,115.1792963,14.22176852
W01000529,0.346939,0.479592,0,0.663265,0,1.020619,35.82967308,12.00734615
E01010379,0,0.967742,0.032258,1,0.870968,5.709677,23.54185714,4.714714286
E01000361,0.84,0.12,0,0.16,0.96,5,81.99733333,14.39016667
E01033762,0.22807,0,0.245614,0.824561,0.280702,3.672727,30.69277778,6.815277778
E01031244,0.491935,0.653226,0,0.653226,0,2.129032,35.9853537,9.167548148
E01020158,0.071429,0.916667,0,0.97619,0,1.390244,29.89150253,5.734747475
E01031011,0.0625,0.953125,0,0.96875,0.078125,3.15873,44.77934467,8.980474
E01009650,0.892857,1,0,1,0.928571,8.392857,48.00911111,14.28177778
E01007232,1,0,0,0,0.419355,3.806452,70.49283333,15.19586111
W01001692,0.825,0.95,0,0.95,0.9,6.1,71.88,9.009583333
S01008298,0.6,0.65,0,0.725,0.325,3.775,64.49205208,11.03998958
E01024726,0.796296,0.944444,0,0.944444,0,3.074074,43.9974,11.54412157
W01000858,0.852941,0.852941,0.147059,1,0.882353,4.735294,63.05563889,11.37752778
E01008353,0.970588,0.617647,0.029412,0.647059,0.323529,5.911765,107.7890769,23.90503846
E01001177,0.913043,0,0,0.043478,0.826087,5.363636,64.76625,20.23995238
W01000747,0.833333,0.027778,0.138889,0.166667,0.944444,4.833333,83.1294697,13.09736364
E01016207,0.74359,0.75641,0,0.75641,0.025641,4.573333,41.63194118,13.66102941
E01016376,0.129032,0.774194,0.129032,1,0.709677,5.548387,83.33417778,10.18706667
E01019730,0.096154,0.903846,0,0.903846,0,3.921569,26.73213158,6.153210526
